,NUMBER,ALERT,ENTRY_TIME,END_TIME,PLC,DESK,FAULT_ID,ID,AREA,BLUEGREY,PTT,SINGLES
0,43032.0,C05: C0502STA061 061B15 clearance sensor fault,2021-01-01 02:23:28,2021-01-01 02:26:49,C05,P02,3419.0,C0502STA061,Module Loop Grey,Grey,PTT011,18.974495823711827
1,43174.0,C05: C0502STA068 068B12 occupancy sensor fault,2021-01-01 02:12:28,2021-01-01 02:12:45,C05,P02,3416.0,C0502STA068,Module Loop Grey,Grey,PTT011,18.02027989518656
2,43176.0,C05: C0502STA068 068B15 clearance sensor fault,2021-01-01 02:09:49,2021-01-01 02:12:19,C05,P02,3419.0,C0502STA068,Module Loop Grey,Grey,PTT011,28.25653586838631
3,44232.0,C05: C0501STA230 230B21 occupancy sensor fault,2021-01-01 01:53:35,2021-01-01 02:09:07,C05,P01,3416.0,C0501STA230,Module Loop Blue,Blue,PTT011,29.333926055915835
4,42647.0,C05: C0502STA041 041B14 clearance sensor fault,2021-01-01 04:03:07,2021-01-01 04:19:14,C05,P02,3419.0,C0502STA041,Module Loop Blue,Blue,PTT011,50.05215734001115
5,42647.0,C05: C0502STA041 041B14 clearance sensor fault,2021-01-01 05:22:40,2021-01-01 05:41:24,C05,P02,3419.0,C0502STA041,Module Loop Blue,Blue,PTT011,51.0084926234148
6,59831.0,C07: C0703STA102 102B13 occupancy sensor fault,2021-01-01 00:38:05,2021-01-01 00:44:12,C07,P03,3416.0,C0703STA102,Quadrant Loop Blue,Blue,PTT011,56.36381090134369
7,59831.0,C07: C0703STA102 102B13 occupancy sensor fault,2021-01-01 17:57:52,2021-01-01 18:16:25,C07,P03,3416.0,C0703STA102,Quadrant Loop Blue,Blue,PTT011,65.41952332765003
8,59831.0,C07: C0703STA102 102B13 occupancy sensor fault,2021-01-01 23:42:53,2021-01-01 23:45:00,C07,P03,3416.0,C0703STA102,Quadrant Loop Blue,Blue,PTT011,47.70215711520287
9,59831.0,C07: C0703STA102 102B13 occupancy sensor fault,2021-01-02 00:00:00,2021-01-02 00:13:00,C07,P03,3416.0,C0703STA102,Quadrant Loop Blue,Blue,PTT011,62.517649853277966
