Asset Code,Pick Station
C0502ACL035,PTT011
C0502STA039,PTT011
C0502RDC036,PTT011
C0502RDC038,PTT011
C0502RDC040,PTT011
C0502RDC046,PTT012
C0502RDC048,PTT012
C0502RDC050,PTT012
C0502ACL045,PTT012
C0502STA049,PTT012
C0602ACL035,PTT021
C0602STA039,PTT021
C0602RDC036,PTT021
C0602RDC038,PTT021
C0602RDC040,PTT021
C0602RDC046,PTT022
C0602RDC048,PTT022
C0602RDC050,PTT022
C0602ACL045,PTT022
C0602STA049,PTT022
C0604ACL135,PTT031
C0604STA139,PTT031
C0604RDC136,PTT031
C0604RDC138,PTT031
C0604RDC140,PTT031
C0604RDC146,PTT032
C0604RDC148,PTT032
C0604RDC150,PTT032
C0604ACL145,PTT032
C0604STA149,PTT032
C0702ACL035,PTT041
C0702STA039,PTT041
C0702RDC036,PTT041
C0702RDC038,PTT041
C0702RDC040,PTT041
C0702RDC046,PTT042
C0702RDC048,PTT042
C0702RDC050,PTT042
C0702ACL045,PTT042
C0702STA049,PTT042
C0704ACL135,PTT051
C0704STA139,PTT051
C0704RDC136,PTT051
C0704RDC138,PTT051
C0704RDC140,PTT051
C0704RDC146,PTT052
C0704RDC148,PTT052
C0704RDC150,PTT052
C0704ACL145,PTT052
C0704STA149,PTT052
C0802ACL035,PTT071
C0802STA039,PTT071
C0802RDC036,PTT071
C0802RDC038,PTT071
C0802RDC040,PTT071
C0802RDC046,PTT072
C0802RDC048,PTT072
C0802RDC050,PTT072
C0802ACL045,PTT072
C0802STA049,PTT072
C0804ACL135,PTT081
C0804STA139,PTT081
C0804RDC136,PTT081
C0804RDC138,PTT081
C0804RDC140,PTT081
C0804RDC146,PTT082
C0804RDC148,PTT082
C0804RDC150,PTT082
C0804ACL145,PTT082
C0804STA149,PTT082
C0902ACL035,PTT091
C0902STA039,PTT091
C0902RDC036,PTT091
C0902RDC038,PTT091
C0902RDC040,PTT091
C0902RDC046,PTT092
C0902RDC048,PTT092
C0902RDC050,PTT092
C0902ACL045,PTT092
C0902STA049,PTT092
C0904ACL135,PTT101
C0904STA139,PTT101
C0904RDC136,PTT101
C0904RDC138,PTT101
C0904RDC140,PTT101
C0904RDC146,PTT102
C0904RDC148,PTT102
C0904RDC150,PTT102
C0904ACL145,PTT102
C0904STA149,PTT102
C1002ACL035,PTT111
C1002STA039,PTT111
C1002RDC036,PTT111
C1002RDC038,PTT111
C1002RDC040,PTT111
C1002RDC046,PTT112
C1002RDC048,PTT112
C1002RDC050,PTT112
C1002ACL045,PTT112
C1002STA049,PTT112
C1102ACL035,PTT121
C1102STA039,PTT121
C1102RDC036,PTT121
C1102RDC038,PTT121
C1102RDC040,PTT121
C1102RDC046,PTT122
C1102RDC048,PTT122
C1102RDC050,PTT122
C1102ACL045,PTT122
C1102STA049,PTT122
C1104ACL135,PTT131
C1104STA139,PTT131
C1104RDC136,PTT131
C1104RDC138,PTT131
C1104RDC140,PTT131
C1104RDC146,PTT132
C1104RDC148,PTT132
C1104RDC150,PTT132
C1104ACL145,PTT132
C1104STA149,PTT132
C1202ACL035,PTT141
C1202STA039,PTT141
C1202RDC036,PTT141
C1202RDC038,PTT141
C1202RDC040,PTT141
C1202RDC046,PTT142
C1202RDC048,PTT142
C1202RDC050,PTT142
C1202ACL045,PTT142
C1202STA049,PTT142
C1204ACL135,PTT151
C1204STA139,PTT151
