Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0501,ACH086,C0501ACH086
Module Loop Blue,Blue,Module,C0501,BCH009,C0501BCH009
Module Loop Blue,Blue,Module,C0501,BCH021,C0501BCH021
Module Loop Blue,Blue,Module,C0501,BCL008,C0501BCL008
Module Loop Blue,Blue,Module,C0501,RDC003,C0501RDC003
Module Loop Blue,Blue,Module,C0501,RDC004,C0501RDC004
Module Loop Blue,Blue,Module,C0501,RDC007,C0501RDC007
Module Loop Blue,Blue,Module,C0501,STA005,C0501STA005
Module Loop Blue,Blue,Module,C0502,ACH023,C0502ACH023
Module Loop Blue,Blue,Module,C0502,ACH025,C0502ACH025
Module Loop Blue,Blue,Module,C0502,ACH033,C0502ACH033
Module Loop Blue,Blue,Module,C0502,ACH043,C0502ACH043
Module Loop Blue,Blue,Module,C0502,ACL027,C0502ACL027
Module Loop Blue,Blue,Module,C0502,ACL028,C0502ACL028
Module Loop Blue,Blue,Module,C0502,ACL035,C0502ACL035
Module Loop Blue,Blue,Module,C0502,ACL045,C0502ACL045
Module Loop Blue,Blue,Module,C0502,RDC031,C0502RD031
Module Loop Blue,Blue,Module,C0502,RDC029,C0502RDC029
Module Loop Blue,Blue,Module,C0502,RDC036,C0502RDC036
Module Loop Blue,Blue,Module,C0502,RDC038,C0502RDC038
Module Loop Blue,Blue,Module,C0502,RDC040,C0502RDC040
Module Loop Blue,Blue,Module,C0502,RDC042,C0502RDC042
Module Loop Blue,Blue,Module,C0502,RDC046,C0502RDC046
Module Loop Blue,Blue,Module,C0502,RDC048,C0502RDC048
Module Loop Blue,Blue,Module,C0502,RDC050,C0502RDC050
Module Loop Blue,Blue,Module,C0502,STA024,C0502STA024
Module Loop Blue,Blue,Module,C0502,STA026,C0502STA026
Module Loop Blue,Blue,Module,C0502,STA030,C0502STA030
Module Loop Blue,Blue,Module,C0502,STA032,C0502STA032
Module Loop Blue,Blue,Module,C0502,STA034,C0502STA034
Module Loop Blue,Blue,Module,C0502,STA039,C0502STA039
Module Loop Blue,Blue,Module,C0502,STA041,C0502STA041
Module Loop Blue,Blue,Module,C0502,STA044,C0502STA044
Module Loop Blue,Blue,Module,C0502,STA049,C0502STA049
Module Loop Blue,Blue,Module,C0502,STA051,C0502STA051
Module Loop Blue,Blue,Module,C0503,ACH186,C0503ACH186
Module Loop Blue,Blue,Module,C0503,BCH109,C0503BCH109
Module Loop Blue,Blue,Module,C0503,BCH121,C0503BCH121
Module Loop Blue,Blue,Module,C0503,BCL108,C0503BCL108
Module Loop Blue,Blue,Module,C0503,RDC010,C0503RDC010
Module Loop Blue,Blue,Module,C0503,RDC104,C0503RDC104
Module Loop Blue,Blue,Module,C0503,RDC107,C0503RDC107
Module Loop Blue,Blue,Module,C0503,RDC110,C0503RDC110
Module Loop Blue,Blue,Module,C0503,STA105,C0503STA105
Module Loop Blue,Blue,Module,C0504,ACH123,C0504ACH123
Module Loop Blue,Blue,Module,C0504,ACH125,C0504ACH125
Module Loop Blue,Blue,Module,C0504,ACH133,C0504ACH133
Module Loop Blue,Blue,Module,C0504,ACH143,C0504ACH143
Module Loop Blue,Blue,Module,C0504,ACL127,C0504ACL127
Module Loop Blue,Blue,Module,C0504,ACL128,C0504ACL128
Module Loop Blue,Blue,Module,C0504,ACL135,C0504ACL135
Module Loop Blue,Blue,Module,C0504,ACL145,C0504ACL145
Module Loop Blue,Blue,Module,C0504,ACL210,C0504ACL210
Module Loop Blue,Blue,Module,C0504,BCL204,C0504BCL204
Module Loop Blue,Blue,Module,C0504,RDC131,C0504RD0131
Module Loop Blue,Blue,Module,C0504,RDC129,C0504RDC129
Module Loop Blue,Blue,Module,C0504,RDC136,C0504RDC136
Module Loop Blue,Blue,Module,C0504,RDC138,C0504RDC138
Module Loop Blue,Blue,Module,C0504,RDC140,C0504RDC140
Module Loop Blue,Blue,Module,C0504,RDC142,C0504RDC142
Module Loop Blue,Blue,Module,C0504,RDC146,C0504RDC146
Module Loop Blue,Blue,Module,C0504,RDC148,C0504RDC148
Module Loop Blue,Blue,Module,C0504,RDC150,C0504RDC150
Module Loop Blue,Blue,Module,C0504,RDC202,C0504RDC202
Module Loop Blue,Blue,Module,C0504,RDC205,C0504RDC205
Module Loop Blue,Blue,Module,C0504,RDC209,C0504RDC209
